Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Acestrorhynchus pantaneiro","Animals","Predator",14,1,2
"Acestrorhynchus pantaneiro","Animals","Prey",4,0.07,2
"Aquatic insects","Animals","Prey",16,3.56,2
"Aquatic insects","Animals","Predator",2,1,2
"Astyanax sp","Animals","Predator",5,1,2
"Astyanax sp","Animals","Prey",3,0.054,2
"Auchenipterus nuchalis","Animals","Prey",2,0.06,4
"Auchenipterus nuchalis","Animals","Predator",4,1,4
"Birds","Animals","Predator",15,1,2
"Caymans","Animals","Predator",12,1,2
"Chaetobranchopsis australis","Animals","Predator",5,0.99,2
"Chaetobranchopsis australis","Animals","Prey",5,0.101,2
"Curimatella dorsalis","Animals","Prey",9,1.347,1
"Curimatella dorsalis","Animals","Predator",2,1,1
"Cynopotamus kincaidi","Animals","Prey",1,0.09,1
"Cynopotamus kincaidi","Animals","Predator",13,1,1
"Gymnogeophagus balzanii","Animals","Prey",3,0.05,2
"Gymnogeophagus balzanii","Animals","Predator",6,1,2
"Hemiodus orthonops","Animals","Prey",1,0.03,2
"Hemiodus orthonops","Animals","Predator",5,1,2
"Hemisorubim platyrhynchos","Animals","Predator",11,1,2
"Hemisorubim platyrhynchos","Animals","Prey",2,0.02,2
"Hoplias malabaricus","Animals","Predator",14,0.999,5
"Hoplias malabaricus","Animals","Prey",4,0.72,5
"Hypophthalmus edentatus","Animals","Predator",3,1,3
"Hypophthalmus edentatus","Animals","Prey",5,0.23,3
"Hypostomus sp","Animals","Predator",2,1,3
"Hypostomus sp","Animals","Prey",3,0.45,3
"Import","Animals","Prey",31,6.089,4
"Leporinus sp","Animals","Prey",1,0.03,2
"Leporinus sp","Animals","Predator",4,1,2
"Loricaria sp","Animals","Predator",2,1,3
"Loricaria sp","Animals","Prey",2,0.11,3
"Loricariichthys sp","Animals","Prey",5,0.29,2
"Loricariichthys sp","Animals","Predator",2,1,2
"Mammals","Animals","Predator",10,1,2
"Moenkhausia sp","Animals","Prey",11,1.562,2
"Moenkhausia sp","Animals","Predator",6,0.999,2
"Pimelodella sp","Animals","Predator",11,1,2
"Pimelodella sp","Animals","Prey",4,0.15,2
"Pimelodus sp","Animals","Prey",6,0.47,2
"Pimelodus sp","Animals","Predator",5,1,2
"Plagioscion ternetzi","Animals","Predator",10,1,2
"Plagioscion ternetzi","Animals","Prey",5,0.15,2
"Potamorhina squamoralevis","Animals","Prey",6,0.276,2
"Potamorhina squamoralevis","Animals","Predator",2,1,2
"Psectrogaster curviventris","Animals","Prey",10,1.212,2
"Psectrogaster curviventris","Animals","Predator",2,1,2
"Pseudoplatystoma corruscans","Animals","Predator",14,1,3
"Pseudoplatystoma corruscans","Animals","Prey",2,0.03,3
"Pseudoplatystoma reticulatum","Animals","Prey",2,0.55,1
"Pseudoplatystoma reticulatum","Animals","Predator",14,1,1
"Roeboides sp","Animals","Predator",6,1,2
"Roeboides sp","Animals","Prey",5,0.393,2
"Schizodon borellii","Animals","Prey",5,0.193,4
"Schizodon borellii","Animals","Predator",2,1,4
"Serrasalmus sp","Animals","Prey",5,0.235,2
"Serrasalmus sp","Animals","Predator",13,0.999,2
"Steindachnerina sp","Animals","Predator",2,1,2
"Steindachnerina sp","Animals","Prey",5,0.449,2
"Sturisoma robustum","Animals","Predator",2,1,2
"Sturisoma robustum","Animals","Prey",3,0.11,2
"Terrestrial insects","Animals","Prey",14,1.597,2
"Terrestrial insects","Animals","Predator",2,1,2
"Tetragonopterus argenteus","Animals","Prey",2,0.08,2
"Tetragonopterus argenteus","Animals","Predator",5,1,2
"Trachydoras paraguayensis","Animals","Prey",3,0.05,4
"Trachydoras paraguayensis","Animals","Predator",6,1,4
"Triportheus sp","Animals","Predator",6,1,2
"Triportheus sp","Animals","Prey",5,0.213,2
"Zooplankton","Animals","Predator",2,1,15
"Zooplankton","Animals","Prey",11,2.465,15
"Phytoplankton","Plants","Prey",11,1.075,14
"Detritus","Undefined","Prey",29,12.426,27
